day_of_week,temp_f,exam_week,promo,foot_traffic,drinks_sold,revenue,sold_out
Mon,57.3,0,1,871,23,101.38,0
Fri,69.3,0,0,711,14,54.02,0
Fri,70.5,0,1,786,20,88.93,0
Fri,48.9,0,0,1134,29,109.06,1
Wed,71.0,0,0,994,15,51.5,0
Wed,61.7,0,0,882,16,99.25,0
Fri,41.1,1,0,957,32,139.36,1
Thu,56.1,0,0,762,16,66.13,0
Fri,59.5,0,1,1021,25,117.93,0
Mon,78.3,0,0,1383,18,75.5,0
Mon,52.4,0,0,864,25,121.0,0
Mon,83.1,0,1,669,21,118.96,0
Tue,70.3,0,0,987,19,83.27,0
Thu,24.2,0,1,1021,26,145.58,0
Wed,41.4,1,1,1264,38,167.12,1
Wed,67.4,0,0,630,14,30.39,0
Mon,34.7,0,0,968,33,142.31,1
Mon,65.6,0,1,711,24,107.69,1
Mon,80.1,0,1,1211,24,85.59,0
Tue,53.7,1,0,1192,30,119.97,1
Fri,80.5,0,0,834,14,48.52,0
Thu,79.2,0,0,628,13,34.83,0
Fri,57.1,0,0,1305,27,112.94,0
Tue,57.5,0,0,868,23,88.02,0
Tue,60.9,0,1,1105,17,92.15,0
Fri,65.1,1,0,565,18,95.19,0
Thu,33.1,0,0,932,37,151.58,1
Thu,55.7,0,0,1076,23,93.89,0
Wed,31.2,0,0,415,18,92.57,0
Mon,52.5,0,0,963,17,81.04,0
Thu,54.5,1,0,1308,40,162.95,1
Tue,28.9,0,0,571,31,131.79,0
Tue,37.8,0,0,872,20,89.13,0
Thu,51.6,0,1,823,20,86.47,0
Wed,92.6,0,0,760,24,111.89,0
Mon,35.8,0,0,761,30,119.99,0
Fri,60.0,0,0,675,22,70.86,0
Tue,43.7,0,0,728,19,92.43,0
Fri,52.0,0,0,861,23,83.88,0
Wed,73.8,0,1,918,23,90.82,0
Tue,63.0,0,0,601,28,120.19,1
Fri,64.8,0,0,740,21,71.17,0
Fri,65.8,0,0,897,13,52.81,0
Tue,67.2,0,0,1167,22,79.12,0
Tue,23.4,0,0,1170,36,141.79,1
Wed,64.2,0,0,894,17,58.85,0
Thu,56.6,0,1,926,22,77.31,1
Wed,64.4,0,0,584,21,97.43,0
Thu,71.4,0,0,917,18,83.05,0
Fri,64.7,0,0,454,16,68.03,0
Wed,69.0,1,0,934,18,74.22,0
Fri,39.3,0,0,583,20,68.5,0
Fri,65.2,0,1,705,18,44.47,0
Fri,56.3,0,0,905,25,96.8,1
Wed,56.6,0,0,945,23,91.39,0
Fri,78.8,0,0,1154,12,53.49,0
Fri,50.2,0,0,923,31,139.87,0
Fri,47.3,0,0,760,22,90.62,0
Fri,37.0,1,0,1136,38,171.87,0
Tue,53.3,0,0,527,11,38.03,0
Fri,75.1,0,1,1246,26,105.94,1
Wed,31.3,1,0,543,25,118.73,0
Fri,62.0,0,0,1020,21,75.87,0
Fri,17.5,1,0,1113,42,188.23,1
Mon,47.0,0,0,768,23,96.12,0
Mon,65.0,0,1,799,21,75.75,1
Thu,49.4,0,0,567,16,52.98,0
Tue,38.8,0,0,921,27,128.33,0
Thu,52.1,0,0,1017,21,96.7,0
Thu,73.8,0,0,777,10,37.31,0
Wed,81.9,0,0,991,17,70.0,0
Thu,82.2,1,0,1168,29,139.89,0
Wed,68.9,1,0,847,34,140.93,0
Wed,63.8,0,0,1085,19,78.4,1
Tue,73.8,0,0,998,14,68.2,0
Wed,39.5,0,0,913,25,93.83,1
Mon,42.5,0,0,1067,19,81.5,0
Thu,78.7,0,0,966,23,72.06,0
Thu,71.7,0,0,737,19,79.67,0
