hours,volume_cuft,crew_size,miles,stairs_flights,packing_service,weekend,est_boxes,dispatcher_rating,quote_source,truck_id
8.59,590,3,9.7,0,1,1,45,2,web,T-1
13.84,902,2,15.0,2,1,1,78,3,phone,T-5
12.13,970,3,12.7,1,0,0,78,4,phone,T-6
9.31,633,3,11.4,2,0,1,41,1,web,T-1
11.17,751,3,17.8,1,0,0,67,1,phone,T-4
12.94,851,3,26.5,2,0,1,86,1,phone,T-4
6.83,418,3,3.2,0,0,0,44,3,referral,T-3
10.69,828,2,8.0,1,0,0,69,1,phone,T-1
8.36,631,3,6.3,1,0,0,60,5,phone,T-2
11.48,740,2,6.5,2,0,0,55,4,web,T-7
10.3,689,3,34.0,0,1,0,56,3,phone,T-6
6.1,440,4,20.1,0,1,0,26,4,web,T-4
8.3,481,3,3.9,2,0,0,36,2,phone,T-5
11.35,709,3,10.7,2,0,0,67,1,referral,T-2
13.71,728,3,13.3,3,1,0,52,2,phone,T-6
8.73,642,4,29.9,2,0,0,48,2,referral,T-2
13.11,934,3,6.9,4,1,0,57,5,phone,T-4
8.8,621,4,12.6,0,0,0,42,5,web,T-5
7.16,432,2,19.7,1,0,1,33,4,referral,T-1
9.26,624,3,10.5,3,0,0,66,4,phone,T-2
10.09,661,2,19.7,1,0,0,52,2,phone,T-7
10.29,671,2,13.5,0,1,0,75,1,web,T-5
14.06,956,2,5.8,1,1,0,76,5,phone,T-7
11.33,812,3,22.4,2,0,0,63,2,referral,T-5
13.53,932,2,11.9,0,0,0,85,3,referral,T-5
12.23,837,2,10.8,1,0,1,82,3,referral,T-3
10.39,664,3,15.8,1,0,1,55,4,web,T-2
12.09,929,3,21.2,0,0,0,68,2,referral,T-5
9.66,643,3,1.6,1,1,0,69,3,phone,T-3
11.54,755,2,30.3,1,0,0,60,2,phone,T-5
7.95,480,2,5.7,1,0,0,40,1,web,T-1
12.26,723,2,21.3,0,1,1,56,2,web,T-6
8.81,629,3,22.0,0,0,0,57,3,phone,T-2
12.57,783,2,13.4,3,0,0,56,5,web,T-3
15.01,1101,3,2.1,1,0,0,98,2,web,T-1
18.01,1223,2,34.9,2,0,0,103,2,web,T-4
14.29,926,2,11.5,2,0,0,77,5,phone,T-1
10.78,695,3,7.8,1,1,0,54,3,referral,T-1
13.1,883,2,5.5,2,0,0,69,5,phone,T-5
11.44,752,3,14.7,1,1,0,58,4,phone,T-2
9.54,568,2,9.4,2,0,0,51,1,web,T-7
9.78,688,2,8.4,1,0,0,68,1,phone,T-5
11.99,647,2,10.6,3,0,0,50,1,phone,T-3
8.68,569,2,38.1,0,1,1,37,1,referral,T-5
14.24,1006,3,2.1,4,0,0,82,2,phone,T-4
7.99,583,3,10.5,1,0,1,53,5,phone,T-6
9.59,593,3,11.5,2,0,0,51,3,web,T-3
10.15,857,3,8.5,1,0,0,73,3,phone,T-1
8.66,549,4,13.5,2,1,0,44,1,phone,T-7
8.01,449,3,11.7,1,0,0,46,3,referral,T-7
8.51,515,3,19.8,1,0,0,47,4,referral,T-7
11.33,808,3,14.1,1,0,0,73,4,referral,T-1
12.58,785,2,17.7,0,1,0,74,1,web,T-1
12.37,768,2,11.2,1,1,0,66,3,referral,T-1
10.09,600,2,6.1,1,1,0,65,1,web,T-2
7.11,502,3,14.3,1,0,1,40,1,referral,T-5
12.37,902,2,9.4,1,0,1,76,2,referral,T-3
6.02,384,2,10.9,1,0,0,31,5,phone,T-1
9.54,656,4,20.9,1,0,1,61,5,referral,T-6
6.13,411,2,8.6,1,0,0,39,2,web,T-7
7.91,614,3,5.1,0,0,0,46,5,web,T-5
8.78,669,3,17.3,2,0,0,62,3,referral,T-1
15.44,973,2,16.0,0,1,0,75,3,web,T-4
5.02,120,2,4.5,2,0,0,4,5,phone,T-3
14.9,1004,3,12.5,2,1,0,83,5,web,T-6
6.81,509,2,2.9,0,0,0,39,4,web,T-7
12.41,769,2,9.3,1,1,0,62,3,web,T-7
11.91,881,4,4.4,1,0,0,76,2,web,T-5
8.38,536,2,5.5,1,0,0,51,5,web,T-7
10.6,685,3,16.3,3,0,1,55,1,phone,T-3
12.49,813,2,13.9,3,0,0,70,2,phone,T-1
11.13,678,2,9.6,1,1,1,58,3,phone,T-6
8.72,543,4,1.3,5,1,0,33,4,web,T-3
10.55,747,3,11.5,3,0,1,66,3,web,T-7
10.65,730,3,11.8,1,1,0,41,5,phone,T-6
6.86,376,2,7.9,1,0,1,24,2,referral,T-7
15.88,1005,2,2.3,0,0,1,80,3,web,T-7
9.38,756,3,12.1,0,0,0,62,5,referral,T-2
5.39,174,4,3.8,1,1,0,11,4,referral,T-3
9.23,524,2,38.4,0,1,1,36,3,referral,T-2
15.91,1085,3,16.4,2,0,0,102,5,phone,T-6
15.02,1056,3,24.9,0,0,0,79,3,referral,T-4
10.29,767,3,11.1,0,0,0,78,3,web,T-3
5.06,337,3,6.5,1,0,0,9,1,referral,T-1
10.15,655,3,10.1,0,1,0,60,2,referral,T-5
13.04,941,3,6.4,1,0,0,87,3,phone,T-3
11.57,794,3,4.2,1,0,0,58,2,referral,T-7
8.12,635,2,21.5,1,0,1,45,5,web,T-7
7.95,546,3,5.0,2,0,0,40,2,referral,T-5
12.81,890,4,4.4,1,1,1,65,4,phone,T-3
9.38,662,3,19.9,0,0,0,59,3,referral,T-7
12.0,780,2,7.8,2,0,0,65,2,referral,T-7
12.51,817,2,19.3,2,0,0,54,5,phone,T-5
15.98,1070,3,8.5,2,0,0,93,4,referral,T-5
10.03,749,4,9.7,0,0,0,68,5,web,T-4
12.75,766,2,1.0,1,0,0,62,1,phone,T-6
5.73,316,2,9.5,0,1,0,30,2,phone,T-2
12.96,954,2,33.2,0,0,0,60,1,referral,T-3
13.83,905,2,31.0,2,1,0,76,5,web,T-5
11.0,706,2,15.3,1,1,0,67,5,phone,T-4
5.0,209,2,14.0,2,0,0,5,1,web,T-2
7.46,585,3,20.4,0,0,1,51,1,referral,T-2
10.54,726,2,5.5,0,1,1,49,4,referral,T-5
18.12,1171,2,39.1,2,0,0,89,4,referral,T-4
12.36,839,3,17.8,1,1,0,61,1,web,T-2
11.3,884,3,5.2,0,0,1,70,5,phone,T-3
11.02,890,3,6.1,1,0,0,78,1,web,T-2
14.52,1003,3,4.3,3,0,0,82,3,referral,T-6
6.01,459,3,7.5,2,0,0,46,4,phone,T-6
7.93,521,4,7.6,1,0,1,46,3,referral,T-5
7.15,448,4,13.6,0,1,1,39,4,phone,T-1
10.05,646,4,9.5,1,0,1,55,4,phone,T-6
7.26,630,4,8.1,1,0,0,46,1,referral,T-1
12.4,730,2,7.6,0,1,0,66,3,phone,T-6
7.43,482,2,6.0,1,1,0,41,2,web,T-4
12.53,728,2,8.7,2,0,1,56,3,phone,T-5
8.01,519,2,4.3,3,0,0,35,5,phone,T-4
17.24,1173,2,1.6,2,0,0,101,3,web,T-7
